"","population","latitude","longitude"
"2647","129","41.6313959","-70.3083967"
"2648","7301","41.6709463","-70.4153701"
"2649","14006","41.6172386","-70.4893132"
"2650","848","41.7018072","-69.963804"
"2651","16","41.8749849","-70.0034925"
"2652","1175","42.049537","-70.0949889"
"2653","5911","41.7689879","-69.973549"
"2655","3518","41.6302517","-70.3925357"
"2657","2942","42.0598291","-70.2004073"
"2659","1108","41.6814387","-70.0235309"
"2660","6261","41.7076995","-70.1585596"
"2663","173","41.8944436","-70.0121798"
"2664","9371","41.6747273","-70.1956478"
"2666","828","41.990779","-70.0457213"
"2667","2580","41.9219965","-70.023356"
"2668","3278","41.7108535","-70.3626957"
"2669","285","41.6666462","-69.9897017"
"2670","1307","41.6601131","-70.1706783"
"2671","1023","41.670836","-70.1134012"
"2672","180","41.6355444","-70.3140731"
"2673","8402","41.6551822","-70.2474764"
"2675","6577","41.7041551","-70.2318012"
"2702","4125","41.7851128","-71.0590468"
"2703","43593","41.9316531","-71.2945028"
"2713","52","41.4412952","-70.9022167"
"2715","3123","41.8150509","-71.1575488"
"2717","4745","41.7601081","-70.9728743"
"2718","6655","41.8624856","-71.0116902"
"2719","15873","41.6324428","-70.8711401"
"2720","30287","41.7263426","-71.1207462"
"2721","26290","41.6751253","-71.148281"
"2723","14767","41.6927049","-71.1297257"
"2724","16908","41.6839363","-71.1775005"
"2725","2631","41.7227205","-71.1854583"
"2726","15534","41.7596996","-71.1445917"
"2738","4907","41.7041382","-70.7522247"
"2739","6045","41.665794","-70.814531"
"2740","43087","41.6374847","-70.9382651"
"2743","10307","41.7182175","-70.9011509"
"2744","11900","41.606252","-70.9136318"
"2745","24576","41.700737","-70.9505465"
"2746","15342","41.6616943","-70.9412078"
"2747","22927","41.6670129","-71.0159654"
"2748","11442","41.5535737","-70.9711353"
"2760","26739","41.9724931","-71.3352082"
"2762","8264","42.0128003","-71.3366019"
"2763","1973","41.9666957","-71.3081776"
"2764","3988","41.8519289","-71.1535982"
"2766","19031","41.957441","-71.1790669"
"2767","13566","41.940996","-71.0484992"
"2769","11608","41.8469631","-71.2445025"
"2770","5093","41.759846","-70.8384492"
"2771","13708","41.8377506","-71.3204283"
"2777","15840","41.7581752","-71.2142024"
"2779","6411","41.8380611","-71.0776152"
"2780","49036","41.909112","-71.1183464"
"2790","15717","41.5991765","-71.0823714"
"2791","246","41.5285378","-71.0780915"
"2802","786","41.9521298","-71.4562334"
"2804","2607","41.4339344","-71.7703137"
"2806","16310","41.7347531","-71.3197319"
"2807","1051","41.1768395","-71.5770955"
"2808","2401","41.4082508","-71.7496743"
"2809","22938","41.6757303","-71.273331"
"2812","1497","41.4789476","-71.6523336"
"2813","7831","41.3944792","-71.669861"
"2814","7496","41.8959323","-71.7005536"
"2815","278","41.7746302","-71.6479536"
"2816","32611","41.6920463","-71.6191159"
